SMILES,human_thalf
CN(C)CCN(Cc1cccs1)c1ccccn1,0.2041199826830682
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0.3010299956856959
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,0.3979400086894094
CCC(C(N)=O)N1CCCC1=O,0.9153998352175468
CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,-0.0457574905124201
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,0.6901960800373769
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.8750612633922792
O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,0.8864907251781221
NC(C(=O)O)C1CC(Cl)=NO1,0.9956351946019368
CN[C@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@@H]1OC,1.4065401804356583
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,1.5899496013268242
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,0.2787536009756865
C[n+]1ccn(C[C@@]2(C)C(C(=O)[O-])N3C(=O)C[C@H]3S2(=O)=O)n1,0.4149733479875216
CN(C(=O)Cc1cccc2sccc12)[C@@H]1CCCC[C@H]1N1CCCC1,0.7403626895021401
C[C@@](O)(/C=C/[C@H]1CC=CC(=O)O1)[C@@H](C[C@@H](O)/C=C\C=C/C=C/CO)OP(=O)(O)O,0.1760912590846342
CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0.9731278536043187
CS(=O)(=O)OCCN(CCBr)c1c(C(=O)NCCOP(=O)(O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],-0.9999999995657056
CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,0.3222192947546
CC(C)(C)/[N+]([O-])=C/c1ccc(S(=O)(=O)O)cc1S(=O)(=O)O,0.5563025007793511
CCC[C@H](Nc1nc(-c2ccc(NC(=O)NCC)c(OC)c2)ncc1C)c1cccnc1,0.4623979979139317
NCCC(O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,0.3802112417297016
NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)C(NC(=O)C(c4ccccc4)S(=O)(=O)[O-])[C@H]3SC2)cc1,0.2148438480741792
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,0.5563025007793511
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0.3010299956856959
O=S(=O)(O)CCS,-0.4436974991120754
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1.763427993563686
